Date,Bike,Car,Lorry,speed_00,speed_10,speed_20,speed_30,speed_40,speed_50,speed_60
2020-08-04 21:00:00+00,0,0,0,,,,,,,
2020-08-04 22:00:00+00,0,0,0,,,,,,,
2020-08-04 23:00:00+00,0,0,0,,,,,,,
2020-08-05 07:00:00+00,2.862823062,52.96222664,0,21.47117296,17.17693837,5.725646123,1.431411531,2.862823062,1.431411531,2.862823062
2020-08-05 08:00:00+00,24.71042471,54.05405405,0,21.62162162,13.8996139,10.81081081,4.633204633,3.088803089,,
2020-08-05 09:00:00+00,18.41432225,60.50420168,0,19.72963098,18.41432225,11.83777859,1.315308732,5.261234929,1.315308732,1.315308732
2020-08-05 18:00:00+00,3.930131004,5.895196507,0,1.965065502,,,,1.965065502,1.965065502,
2020-08-05 19:00:00+00,0,0,0,,,,,,,
2020-08-06 00:00:00+00,0,0,0,,,,,,,
2020-08-06 01:00:00+00,0,0,0,,,,,,,
2020-08-06 02:00:00+00,0,0,0,,,,,,,
2020-08-06 03:00:00+00,0,0,0,,,,,,,
2020-08-06 04:00:00+00,2.576950608,30.9234073,0,12.88475304,7.730851825,10.30780243,,,,
2020-08-06 05:00:00+00,9.025787966,56.73352436,0,11.60458453,10.31518625,12.89398281,9.025787966,6.446991404,3.868194842,2.578796562
2020-08-06 06:00:00+00,9.667024705,52.2019334,0,15.46723953,7.733619764,11.60042965,5.800214823,5.800214823,3.866809882,
2020-08-06 07:00:00+00,5.091937765,52.61669024,0,25.45968883,13.57850071,10.18387553,1.697312588,,1.697312588,
2020-08-06 08:00:00+00,22.47992864,41.74843889,0,14.45138269,11.23996432,8.028545941,3.211418376,1.605709188,3.211418376,
2020-08-06 09:00:00+00,12.17129977,59.50413223,0,31.10443276,10.81893313,6.761833208,4.057099925,2.704733283,2.704733283,
2020-08-06 11:00:00+00,20.41884817,64.39790576,0,26.70157068,9.42408377,17.27748691,4.712041885,4.712041885,,1.570680628
2020-08-06 16:00:00+00,0,27.32447818,0,11.38519924,4.554079696,2.277039848,4.554079696,2.277039848,2.277039848,
2020-08-06 17:00:00+00,11.47018662,34.41055985,0,14.74738279,3.277196177,4.915794265,4.915794265,4.915794265,,
2020-08-06 18:00:00+00,8.330119553,12.49517933,0,5.553413035,1.388353259,2.776706518,,1.388353259,,
2020-08-06 19:00:00+00,0,0,0,,,,,,,
2020-08-06 20:00:00+00,0,0,0,,,,,,,
2020-08-06 21:00:00+00,0,0,0,,,,,,,
2020-08-06 22:00:00+00,0,0,0,,,,,,,
2020-08-06 23:00:00+00,0,0,0,,,,,,,
2020-08-07 00:00:00+00,0,0,0,,,,,,,
2020-08-07 03:00:00+00,0,0,0,,,,,,,
2020-08-07 04:00:00+00,0,18.88111888,0,12.58741259,,6.293706294,,,,
2020-08-07 05:00:00+00,5.117270789,43.49680171,0,16.63113006,12.79317697,7.675906183,2.558635394,1.279317697,1.279317697,1.279317697
2020-08-06 10:00:00+00,24.35174746,58.17361894,0,20.29312289,9.470124014,12.17587373,6.764374295,8.117249154,,
2020-08-07 01:00:00+00,0,0,0,,,,,,,
2020-08-07 02:00:00+00,0,0,0,,,,,,,
2020-08-07 11:00:00+00,16.38225256,61.4334471,0,12.28668942,8.19112628,12.28668942,16.38225256,6.14334471,4.09556314,
2020-08-07 12:00:00+00,19.57940537,70.48585932,0,33.93763597,14.3582306,9.137055838,6.526468455,3.915881073,2.610587382,
2020-08-07 13:00:00+00,36.40303359,52.00433369,0,18.20151679,13.00108342,14.30119177,3.900325027,1.300108342,,1.300108342
2020-08-07 14:00:00+00,13.34816463,34.70522803,0,13.34816463,2.669632925,6.674082314,5.339265851,2.669632925,,2.669632925
2020-08-06 12:00:00+00,20.75675676,40.21621622,0,18.16216216,6.486486486,7.783783784,3.891891892,3.891891892,,
2020-08-06 13:00:00+00,21.5085885,60.49290515,0,16.13144137,13.44286781,14.78715459,4.032860344,9.410007468,1.344286781,
2020-08-06 14:00:00+00,18.72213967,36.10698366,0,18.72213967,4.011887073,9.361069837,1.337295691,2.674591382,,
2020-08-06 15:00:00+00,1.333333333,29.33333333,0,12,1.333333333,5.333333333,5.333333333,1.333333333,,
2020-08-07 06:00:00+00,7.692307692,59.61538462,0,17.30769231,11.53846154,7.692307692,11.53846154,3.846153846,3.846153846,3.846153846
2020-08-07 07:00:00+00,8.098987627,76.94038245,0,28.34645669,16.19797525,16.19797525,12.14848144,,4.049493813,
2020-08-07 08:00:00+00,25.81801883,62.93142089,0,22.59076647,11.29538324,17.74988794,6.454504706,1.613626177,1.613626177,
2020-08-07 09:00:00+00,15.88235294,76.76470588,0,23.82352941,17.20588235,17.20588235,7.941176471,6.617647059,3.970588235,
2020-08-07 10:00:00+00,17.38484398,61.51560178,0,18.72213967,16.04754829,13.37295691,10.69836553,,2.674591382,
