AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp
0.58838177,0.34991443,-0.3020258,0.017256944,0.059864793,-0.05749769,NORMAL,3581917
0.27177906,-0.3176977,-1.3043566,0.024587326,0.23640485,-0.032452215,NORMAL,3581917
1.2970872,-0.289931,0.48964405,-0.013897184,0.009162978,-0.0538325,NORMAL,3581918
0.6208844,-0.23079026,-0.37490177,-0.020616703,-0.03726278,-0.05749769,NORMAL,3581918
0.07816887,0.08086151,0.99902534,0.02275473,-0.037873644,-0.017180584,NORMAL,3581919
0.032126665,-1.4262593,0.34059143,0.010537425,-0.047647487,-0.0019089539,NORMAL,3581920
-0.5744629,-1.6591148,-0.14958858,0.025198191,-0.0720821,-0.015347989,NORMAL,3581920
-0.29188764,-1.0415342,0.3373127,-0.02855795,-0.07391469,-0.018402316,NORMAL,3581921
-0.22603464,-0.5312053,0.018574715,-0.016340645,-0.11911872,-0.010461068,NORMAL,3581921
0.058799982,-0.80252695,0.37325382,-0.0035124752,-0.052534413,-0.0067958757,NORMAL,3581922
-0.7985405,-0.42668962,-1.0020752,0.00076358154,0.014660766,0.05245805,NORMAL,3581922
-0.53823745,-0.30945587,-0.0015459061,0.029474247,-0.025045475,0.112322845,NORMAL,3581923
-0.5153528,0.3229189,-0.027294159,0.07162395,0.05497787,0.31451926,NORMAL,3581923
-0.42762697,0.2944883,0.10162735,0.06307184,-0.08735373,0.40614903,NORMAL,3581924
-0.031713493,-0.08391827,-0.15555286,0.059406646,-0.07880162,0.51732653,NORMAL,3581924
0.344795,-0.03533107,-0.075208664,0.055741455,-0.16920967,0.45318565,NORMAL,3581925
0.8982495,0.028264463,-0.26040077,0.021533,0.014049901,0.32673654,NORMAL,3581925
2.5152426,-1.4317896,0.3301115,0.1956296,-0.021991149,0.11965323,NORMAL,3581926
0.66863656,-0.9365903,-0.8662405,-0.0022907446,-0.03970624,-0.02695443,NORMAL,3581927
0.093574286,0.75457877,-2.3041115,0.11804971,0.10262536,0.20639609,NORMAL,3581927
-0.3275652,-1.4359556,-0.73935795,0.24755314,0.535118,-0.22059871,NORMAL,3581928
-0.057436705,0.9079493,1.5271358,-0.08231409,0.032375857,-0.32566753,NORMAL,3581928
0.6734171,-2.16608,2.2836838,-0.14645495,-0.11728613,-0.5614615,NORMAL,3581929
0.20289707,-0.65013266,-0.74814224,-0.2875648,-0.37018433,-0.44356453,NORMAL,3581929
-0.5614152,-0.15944195,0.63160133,-0.062155537,-0.2669481,-0.35132387,NORMAL,3581930
-0.91252375,-0.29998893,-0.71045685,-0.033444874,0.070249505,-0.12224941,NORMAL,3581930
-0.109808445,1.3911144,0.9050455,0.1479821,0.2602286,0.15569428,NORMAL,3581931
-1.922281,0.26151702,0.81701946,-0.0016798794,0.14660765,0.29619327,NORMAL,3581931
-0.63623285,1.1276133,-0.5098686,-0.07315111,-0.32803464,0.35117117,NORMAL,3581932
-1.6712124,0.101218164,1.5529861,0.10277808,0.12034045,0.52038085,NORMAL,3581932
-0.907002,-1.1735969,0.6423836,0.16752979,-0.062308256,0.5264895,NORMAL,3581933
-1.9098209,0.16365415,-0.09655571,0.11010846,-0.07696902,0.50205487,NORMAL,3581934
-1.0430788,-0.26890445,1.0764198,0.041080687,-0.034208454,0.51427215,NORMAL,3581934
-0.7651744,-0.5213484,-0.060153008,0.113162786,-0.08857546,0.48372892,NORMAL,3581935
-0.400496,-0.5043357,-0.6483774,0.03191771,0.1826487,0.27908906,NORMAL,3581935
-0.20211792,-1.3634696,0.6128807,-0.012064588,-0.0012217305,0.18012889,NORMAL,3581936
0.50870955,-2.3056333,1.3682127,0.022143865,-0.009162978,0.051236324,NORMAL,3581936
-0.5754907,-0.6420709,0.29804993,0.007483099,0.004276057,-0.0006872234,NORMAL,3581937
0.1607877,0.026787877,-0.04210186,-0.010231993,-0.00061086525,-0.0031306844,NORMAL,3581937
0.5972079,0.01051259,-0.18875217,-0.019394971,-0.029932396,0.03596469,NORMAL,3581938
-0.36864388,-0.08297765,-0.11356926,-0.0016798794,-0.1020145,0.17157678,NORMAL,3581938
0.18407774,0.6053978,0.79770756,0.10399981,-0.086132,0.19601138,NORMAL,3581939
0.3320011,1.0934865,0.24692535,0.0056505036,0.06841691,0.17951803,NORMAL,3581940
-1.0740231,0.49058187,1.1653833,-0.0041233404,-0.053145275,0.2570979,NORMAL,3581940
-0.14754963,0.17769188,-0.24219131,0.11071932,-0.005497787,0.24915667,NORMAL,3581941
1.0301888,0.40738815,0.070752144,-0.0041233404,-0.087964594,0.18379408,NORMAL,3581941
1.095551,1.1317163,-0.3211527,0.02275473,-0.13500121,0.0884991,NORMAL,3581942
0.1641891,0.006551087,0.24252892,0.08200866,0.04337143,0.05673411,NORMAL,3581942
-0.564914,0.6863041,0.37143898,-0.117744274,-0.19364429,-0.07582365,NORMAL,3581943
0.4898994,1.1407373,-0.11038113,0.0025961774,0.009162978,-0.0092393365,NORMAL,3581943
-0.048973083,0.7001127,-0.06347942,0.07284568,0.12522738,0.051236324,NORMAL,3581944
0.031963706,0.80641913,0.46327877,0.04230242,0.019547688,0.20761782,NORMAL,3581944
-0.71170926,0.41846478,-0.83405304,0.055741455,-0.03176499,0.26259568,NORMAL,3581945
0.12218666,-0.34776318,0.0024223328,0.12110403,0.040317107,0.24426974,NORMAL,3581945
-0.41870224,0.05317104,2.2214575,0.18402316,-0.009162978,0.13492486,NORMAL,3581946
-1.6376058,-1.5124228,0.1487503,0.06918049,-0.076358154,0.03901902,NORMAL,3581947
0.14603937,-0.3773564,0.24803829,0.05513059,-0.27122417,-0.34460434,NORMAL,3581947
-1.0438817,-2.3658812,2.9794712,0.010537425,-0.09896017,0.090331696,NORMAL,3581948
1.3606005,-3.578845,0.86953163,-0.04016439,0.05497787,0.34567338,NORMAL,3581948
-1.4628837,-0.8647557,0.4906807,0.17852537,0.59559363,0.20700696,NORMAL,3581949
-1.8697839,0.478813,-0.8221798,0.2817616,0.43188173,0.24793494,NORMAL,3581949
-0.51804364,-0.6185088,0.60442543,0.15347989,-0.18203785,0.22350033,NORMAL,3581950
-1.7938365,-1.7622671,0.47893333,-0.03283401,-0.23335053,0.18257235,NORMAL,3581950
-0.15272486,-0.893272,-0.40758514,-0.07803804,0.0036651916,0.17402023,NORMAL,3581951
-0.5546738,-0.798226,0.4517107,0.012370021,0.051923547,0.05673411,NORMAL,3581951
-0.8512211,-2.446064,0.3300352,0.09728029,0.015271631,-0.014737124,NORMAL,3581952
-0.5101371,-1.2260644,0.9339285,0.01786781,0.037873644,-0.019624045,NORMAL,3581952
0.4568373,-0.2875158,-0.20781326,0.01786781,0.0067195175,-0.046502117,NORMAL,3581953
-0.13855004,-0.058543324,-0.5648413,-0.0346666,0.014049901,-0.083764896,NORMAL,3581954
0.284276,0.47457635,0.3851347,-0.06765333,-0.01160644,-0.2242639,NORMAL,3581954
1.5990479,0.38366675,0.85644627,-0.09636399,0.08307768,-0.3458261,NORMAL,3581955
0.62328863,0.20398295,0.350832,-0.1385137,-0.10323623,-0.49793154,NORMAL,3581955
1.4427435,-0.1261189,-1.7974648,-0.14523321,0.17104226,-0.45150578,NORMAL,3581956
1.4641161,0.7626747,-0.62368965,-0.076816306,0.014660766,-0.2822961,NORMAL,3581956
0.4488585,-1.7443461,0.5654316,-0.032223143,0.02076942,-0.14485142,NORMAL,3581957
-0.07701111,-0.92430186,0.24703026,0.009315695,0.03726278,-0.041615196,NORMAL,3581957
0.1374228,0.11220431,-0.15169334,0.026419923,0.12889257,0.061621033,NORMAL,3581958
0.41126227,0.94552314,-0.24467468,-0.018784106,0.04886922,0.07933612,NORMAL,3581958
0.14207673,-0.37121624,0.5190573,-0.00290161,0.032986723,0.0603993,NORMAL,3581959
-0.5569669,-0.80011284,1.2094545,-0.010231993,-0.009162978,0.029245174,NORMAL,3581959
-0.19993865,0.43333232,-1.6276379,-0.075594574,-0.065973446,0.02313652,NORMAL,3581960
-0.38921416,-1.069015,-0.57050514,0.03924809,-0.031154128,0.087277375,NORMAL,3581961
0.4732579,0.34051347,0.37805557,0.03436117,-0.012217305,0.02069306,NORMAL,3581961
0.29319298,0.19268191,0.14567757,0.007483099,-0.0036651916,0.009697486,NORMAL,3581962
-1.072531,-0.83113647,0.284482,-0.012675454,0.11056661,0.08239045,NORMAL,3581962
0.117099285,1.1964908,0.15334225,-0.1226312,-0.12095132,0.05795584,NORMAL,3581963
0.036445856,-0.47728482,-0.59800434,-0.015118915,-0.07880162,0.022525655,NORMAL,3581963
0.09764075,-0.5201133,-0.45720482,0.08689558,0.14477506,0.053068917,NORMAL,3581964
-0.034880042,-0.34203875,0.36145973,-0.02977968,0.0061086523,0.037797287,NORMAL,3581964
0.3321674,-0.08323842,0.16269875,0.03680463,0.11789699,0.035353824,NORMAL,3581965
0.10158324,-0.40463877,-0.07546139,0.011759156,0.01038471,0.0139735425,NORMAL,3581965
-0.11293006,0.38940006,0.51004505,-0.009010263,-0.028710667,-0.009850202,NORMAL,3581966
-0.5971999,1.0624743,-0.18441868,0.051465396,0.02321288,-0.009850202,NORMAL,3581967
0.52147114,0.5292369,0.43230915,-0.008399397,-0.018325957,0.012751812,NORMAL,3581967
0.71410704,1.6791232,0.6327362,-0.023060163,-0.05375614,-7.6358156e-05,NORMAL,3581968
-0.8954813,0.6466949,-0.8552408,0.04841107,0.034208454,0.0041996986,NORMAL,3581968
-1.1214677,1.2292928,-0.5646105,0.032528576,0.059864793,0.023747386,NORMAL,3581969
-0.26859748,-0.38817632,-0.84255505,-0.02977968,-0.062308256,-0.0055741454,NORMAL,3581969
-0.36955535,-0.77380395,-0.33473873,0.011148291,0.0720821,0.017027868,NORMAL,3581970
0.19427443,0.45668578,0.23287392,0.025198191,0.021991149,0.024969118,NORMAL,3581970
-0.3366214,1.2297982,1.1876631,0.00870483,-0.17104226,0.028023442,NORMAL,3581971
